Pressure, Conductivity, Temperature, Density, Sound_Speed
35.821998, 5.49329, 28.255697, 1.02164315464245, 1541.32576825755,
43.734001, 5.49667, 28.2506, 1.02169740953051, 1541.47414855333,
51.493999, 5.49961, 28.2423, 1.02175152427297, 1541.61216912384,
59.222003, 5.50208, 28.246999, 1.02179178744878, 1541.76498180132,
67.530998, 5.50411, 28.246601, 1.02183653087419, 1541.91683593258,
74.835998, 5.50579, 28.245199, 1.02187622892411, 1542.04805258496,
82.117996, 5.50675, 28.243099, 1.02191267889346, 1542.17261293934,
89.705993, 5.50851, 28.246601, 1.02194968208829, 1542.31616782553,
98.095001, 5.51003, 28.244598, 1.02199346074392, 1542.46328092492,
105.709007, 5.51311, 28.1879, 1.02208971719753, 1542.53000295014,
113.209007, 5.51646, 27.780696, 1.02249277961207, 1542.08831341236,
120.782997, 5.51125, 27.756698, 1.02251706006012, 1542.13998433375,
128.532012, 5.48776, 26.7345, 1.02332307250897, 1540.58394956743,
137.139007, 5.44808, 27.140802, 1.02278708468132, 1541.03082190333,
145.539001, 5.40258, 25.527799, 1.02399994731345, 1538.37216870335,
154.28099, 5.33052, 26.066699, 1.02316253105053, 1538.78603898523,
163.625, 5.26035, 24.6476, 1.02406263922746, 1536.15198558883,
174.39801, 5.17709, 24.11, 1.02411150607956, 1534.78352107131,
184.844009, 5.101819, 22.667499, 1.02500413435843, 1531.92577263152,
195.764999, 5.01724, 21.494699, 1.02560200339671, 1529.35651503643,
207.024993, 4.93615, 21.3859, 1.02525568849716, 1528.63532188304,
219.753006, 4.84245, 20.756498, 1.02530020318139, 1526.88375815257,
231.246994, 4.76031, 20.069999, 1.02545271718826, 1525.07048970197,
242.761993, 4.70232, 19.211099, 1.02590402826743, 1523.11334736963,
254.154998, 4.6338, 18.3903, 1.02625059267893, 1521.07963340718,
266.018005, 4.54967, 18.029199, 1.02607810610713, 1519.7577253273,
276.649993, 4.47676, 16.8157, 1.02673248018974, 1516.79116458962,
286.846008, 4.39017, 16.6958, 1.02630185407078, 1515.84215882878,
297.043029, 4.32893, 15.6883, 1.02683186885252, 1513.29107920548,
308.289001, 4.25909, 14.3374, 1.02761885618445, 1509.86243899936,
318.589996, 4.1987, 14.488101, 1.02709538901402, 1509.70154340827,
328.522003, 4.14747, 13.4985, 1.02766835679229, 1507.13267905977,
338.485015, 4.09463, 13.149401, 1.02764306936811, 1505.92540958519,
348.936981, 4.04385, 13.0616, 1.02739421939249, 1505.32504178001,
358.054992, 3.99878, 12.4515, 1.02765165152116, 1503.5701485932,
366.89801, 3.96286, 11.993701, 1.02783569490939, 1502.24162909515,
375.368011, 3.92662, 12.098299, 1.02750395589743, 1502.19971012813,
384.375, 3.89746, 11.521, 1.02784283199932, 1500.65048623575,
392.07199, 3.86341, 11.273201, 1.02783954058332, 1499.78406672613,
399.625, 3.83781, 10.3408, 1.02852517111523, 1497.36762625408,
407.07199, 3.81196, 10.6248, 1.02809326978028, 1497.85380860917,
414.943023, 3.78693, 10.0383, 1.02846590935431, 1496.25191999549,
422.065002, 3.76541, 9.876701, 1.0284732140787, 1495.70360477766,
429.043029, 3.7477, 9.7266, 1.02849895215697, 1495.22552168865,
435.860015, 3.72927, 9.686, 1.02841737311992, 1495.00317847332,
442.593994, 3.71347, 9.092, 1.02886497667592, 1493.43995834329,
449.895996, 3.69925, 9.118, 1.02875579868167, 1493.43876331701,
456.503997, 3.69102, 9.0295, 1.02879804012079, 1493.21787500176,
463.027008, 3.67898, 9.071501, 1.02868867762772, 1493.272366519,
469.186035, 3.66929, 8.7231, 1.02895645855095, 1492.37207002706,
476.013977, 3.65466, 8.4625, 1.0291061048619, 1491.63381102965,
482.323974, 3.64447, 8.441401, 1.02906772140198, 1491.54744293815,
488.53302, 3.635, 8.4451, 1.02901189285923, 1491.53161374367,
494.70401, 3.62659, 8.351301, 1.0290547529493, 1491.28153499446,
501.36499, 3.61505, 8.210101, 1.02911741054538, 1490.87628684969,
507.653015, 3.60753, 8.049101, 1.02923017992976, 1490.46590691219,
513.95697, 3.60041, 8.084101, 1.02916456628883, 1490.56126533342,
520.154968, 3.5926, 7.9606, 1.02923951449766, 1490.23976147801,
527.054992, 3.58182, 7.8762, 1.02925618040049, 1489.98906304511,
533.291015, 3.57293, 7.8509, 1.02923103704526, 1489.90444357158,
539.501037, 3.56658, 7.7529, 1.02929423503955, 1489.66547417633,
545.898986, 3.56129, 7.5914, 1.02942603018357, 1489.27866347775,
552.723999, 3.55648, 7.5293, 1.02947145516259, 1489.16148258404,
558.901977, 3.55333, 7.5331, 1.02946697277745, 1489.22704222565,
565.205993, 3.54991, 7.5088, 1.02948681642331, 1489.21806165651,
571.468017, 3.54528, 7.3334, 1.02963670555866, 1488.79913302399,
578.255004, 3.54032, 7.2438, 1.02970624635564, 1488.60623198536,
584.471984, 3.53409, 7.1311, 1.02978415735974, 1488.32598095874,
590.863952, 3.52908, 7.1361, 1.02976322513389, 1488.37200228295,
597.396972, 3.52392, 6.9878, 1.02988479319344, 1488.01708888286,
604.464965, 3.51892, 6.9732, 1.02988490621514, 1488.02230090236,
610.966003, 3.51282, 6.9714, 1.02986125353185, 1488.03687645277,
617.537963, 3.50669, 6.9462, 1.02985947118575, 1487.9906865946,
624.045043, 3.50218, 6.8489, 1.02993855694524, 1487.77588055919,
631.328002, 3.49746, 6.7023, 1.03006526529506, 1487.4398482305,
638.011047, 3.49384, 6.857, 1.02991730599699, 1487.90394471043,
644.726989, 3.48898, 6.7434, 1.03000927934939, 1487.64349991137,
651.320007, 3.48396, 6.6267, 1.03010234349054, 1487.36985820468,
658.61798, 3.48014, 6.6567, 1.03007159995244, 1487.51209689011,
665.258972, 3.47676, 6.5873, 1.03013477201379, 1487.38663563437,
671.981018, 3.47301, 6.4789, 1.03023159419312, 1487.15338931592,
678.558959, 3.46877, 6.543, 1.03016219536047, 1487.36891059436,
685.921997, 3.46476, 6.48, 1.03021684375822, 1487.26236370014,
692.710022, 3.46142, 6.4529, 1.03024136512362, 1487.25135828942,
699.395019, 3.45901, 6.3544, 1.0303402979618, 1487.06133969948,
706.177978, 3.45639, 6.301701, 1.03039500727318, 1486.99172060836,
713.616027, 3.4537, 6.3464, 1.03036063083189, 1487.19141348097,
720.457946, 3.4507, 6.2776, 1.0304272728738, 1487.07417902134,
727.083984, 3.44738, 6.2803, 1.03042331336675, 1487.13994402347,
733.892028, 3.44369, 6.1906, 1.03050331717917, 1486.95601930489,
740.625, 3.44002, 6.0805, 1.03060239464017, 1486.71598129297,
748.147033, 3.43653, 6.0775, 1.03060584214919, 1486.77795691147,
755.182983, 3.43373, 6.0296, 1.0306554438351, 1486.72140505093,
762.107971, 3.43165, 6.0434, 1.03065301149903, 1486.83903380113,
768.796997, 3.42908, 5.964201, 1.0307325382935, 1486.69583463723,
776.260009, 3.42534, 5.9552, 1.03073908654377, 1486.73694794313,
783.297973, 3.42282, 5.972899, 1.03072957396679, 1486.86064463479,
790.188964, 3.4199, 5.9134, 1.03078829612405, 1486.76819916346,
797.089965, 3.41694, 5.8771, 1.03082494535403, 1486.73771957332,
804.751037, 3.41404, 5.8388, 1.030867144399, 1486.71465271003,
811.807006, 3.412, 5.8371, 1.03088006507276, 1486.79310794126,
818.650024, 3.40996, 5.803, 1.03092248765149, 1486.78054125445,
825.699035, 3.40796, 5.7622, 1.03097240717756, 1486.75359474808,
833.429016, 3.40477, 5.7302, 1.0310063635246, 1486.74409512052,
840.491027, 3.40173, 5.6792, 1.03105669808512, 1486.67446866403,
847.570983, 3.3977, 5.626, 1.03110038513323, 1486.58465025176,
854.600952, 3.39371, 5.5649, 1.03115162325439, 1486.47285457779,
862.374023, 3.38984, 5.4928, 1.03121735883201, 1486.34435004045,
869.402954, 3.3868, 5.4875, 1.03122448506837, 1486.39769508717,
876.429992, 3.38456, 5.4089, 1.03130775016526, 1486.26276502104,
883.657043, 3.382, 5.4671, 1.03126016401346, 1486.49934720026,
891.418945, 3.37942, 5.3636, 1.03136683634184, 1486.3028963896,
898.563964, 3.37706, 5.3235, 1.03141323713564, 1486.27267405568,
905.887023, 3.37509, 5.2604, 1.03148558193791, 1486.18794724591,
912.856079, 3.37288, 5.3005, 1.03145691543163, 1486.37631176565,
920.640014, 3.37056, 5.2413, 1.03152431296185, 1486.30428309633,
927.640014, 3.36896, 5.2518, 1.03152915787447, 1486.42110690476,
934.549011, 3.36676, 5.2485, 1.03154127011168, 1486.48992219128,
941.716003, 3.36476, 5.1928, 1.03160563148935, 1486.42204241538,
949.634948, 3.3625, 5.1781, 1.03163212059683, 1486.47470613755,
956.690063, 3.36112, 5.1462, 1.03167913468443, 1486.47925040324,
963.979003, 3.3593, 5.0722, 1.03176294217681, 1486.36527587366,
971.223999, 3.35716, 5.0425, 1.03180184897724, 1486.36750093244,
978.952026, 3.35422, 4.9656, 1.03188021424829, 1486.23558464682,
986.258972, 3.35104, 4.9805, 1.03186776629781, 1486.34605616848,
993.442016, 3.34822, 4.8895, 1.03195827678658, 1486.16789276775,
1000.670043, 3.34519, 4.965, 1.03188950906922, 1486.4465466529,
1008.838989, 3.34215, 4.8755, 1.03198058392564, 1486.2846148373,
1015.861022, 3.34012, 4.7844, 1.03207766569995, 1486.11456740756,
1023.024047, 3.33761, 4.8322, 1.03203939162766, 1486.32363695504,
1030.239013, 3.33526, 4.8382, 1.03204241745092, 1486.42037180587,
1038.262939, 3.33268, 4.7904, 1.03209758039955, 1486.37759920827,
1045.395996, 3.33018, 4.7647, 1.03212885896144, 1486.38291591389,
1052.575927, 3.32739, 4.7212, 1.0321745294445, 1486.33519467893,
1059.731079, 3.32479, 4.6457, 1.03225213390897, 1486.20087206144,
1067.706054, 3.3221, 4.6225, 1.03228276922578, 1486.22335108408,
1074.87207, 3.31963, 4.5758, 1.03233431620513, 1486.17078169425,
1082.125, 3.31748, 4.6172, 1.03230563112014, 1486.3694665436,
1089.41101, 3.31564, 4.5288, 1.03240289645803, 1486.21198420017,
1097.418945, 3.31421, 4.4862, 1.03246352897325, 1486.19953802639,
1104.606079, 3.31292, 4.541101, 1.03242952127191, 1486.44783917476,
1111.731079, 3.31126, 4.5033, 1.03247979234904, 1486.43120487307,
1118.957031, 3.30943, 4.507, 1.03248959231383, 1486.52934658886,
1126.127075, 3.30779, 4.4071, 1.03259915548569, 1486.34021070841,
1134.093994, 3.30595, 4.4258, 1.03259764382774, 1486.49185670533,
1141.078979, 3.30348, 4.4373, 1.03259316536728, 1486.59829641963,
1148.437988, 3.30111, 4.2931, 1.03273895189908, 1486.27663624645,
1155.66101, 3.2988, 4.3661, 1.03267841015415, 1486.56135958586,
1163.652099, 3.29649, 4.255, 1.03279593463995, 1486.34279729684,
1170.953979, 3.29421, 4.2889, 1.03277309844252, 1486.5198692237,
1178.22705, 3.2921, 4.2463, 1.03282438581362, 1486.48456101759,
1185.402099, 3.28958, 4.2342, 1.03284252152304, 1486.52697524936,
1193.245971, 3.28688, 4.1998, 1.03288294821997, 1486.51466002004,
1200.606079, 3.28435, 4.1528, 1.03293489286325, 1486.46165020235,
1207.833007, 3.28177, 4.1209, 1.03297146392551, 1486.44808181528,
1215.157958, 3.27923, 4.0828, 1.03301469462685, 1486.41912145706,
1223.127075, 3.2775, 4.0621, 1.03305150390281, 1486.46172150167,
1230.384033, 3.27566, 4.0026, 1.03312127782132, 1486.381813583,
1237.682006, 3.27339, 3.951, 1.03317975491014, 1486.31808941257,
1245.098999, 3.27089, 3.9314, 1.03320608159937, 1486.34294643274,
1253.08496, 3.26798, 3.9248, 1.03321857171659, 1486.40730263947,
1260.23706, 3.26509, 3.8994, 1.03324568995127, 1486.405460725,
1267.590087, 3.26332, 3.8597, 1.03329762988407, 1486.3834655051,
1275.100952, 3.26202, 3.7844, 1.03338858591454, 1486.27029742748,
1283.272949, 3.26053, 3.8373, 1.03335817132625, 1486.52783754101,
1290.588012, 3.25861, 3.7486, 1.03345532850108, 1486.36381869429,
1297.957031, 3.25689, 3.7689, 1.03345052358956, 1486.51267714318,
1305.23999, 3.25517, 3.7541, 1.03347887025235, 1486.5606249633,
1313.161987, 3.25342, 3.7419, 1.03350710160383, 1486.62569137291,
1320.641967, 3.25204, 3.6961, 1.03356899842352, 1486.59393686565,
1327.812988, 3.25015, 3.7151, 1.03356302558582, 1486.73343599638,
1335.172973, 3.24817, 3.6675, 1.03362053907824, 1486.68524641067,
1343.127929, 3.24646, 3.6389, 1.03366490370824, 1486.70468730704,
1350.565063, 3.24493, 3.5811, 1.03373670632012, 1486.63543003767,
1357.886962, 3.2434, 3.5865, 1.03374762393579, 1486.74422970734,
1365.212036, 3.24146, 3.5527, 1.03379219316716, 1486.73502726157,
1373.334106, 3.23967, 3.5368, 1.03382434876308, 1486.79187620855,
1380.640869, 3.23823, 3.4841, 1.03389159066303, 1486.73608867691,
1388.142944, 3.23687, 3.4542, 1.03393858831333, 1486.74964403603,
1395.429931, 3.23542, 3.4863, 1.03392450708042, 1486.93537503766,
1403.395019, 3.23339, 3.3871, 1.03403349403213, 1486.74782471334,
1410.666992, 3.23205, 3.4179, 1.03402156298885, 1486.9313865308,
1418.124023, 3.23071, 3.4121, 1.03404546709036, 1487.01331175947,
1425.491943, 3.22974, 3.4185, 1.03406079368305, 1487.13449597772,
1433.717041, 3.22824, 3.3765, 1.03412101423798, 1487.12263972301,
1441.062011, 3.22738, 3.3339, 1.0341841866468, 1487.10488809928,
1448.452026, 3.22624, 3.3133, 1.03422384841879, 1487.1464331365,
1455.96997, 3.22542, 3.2942, 1.03426560594347, 1487.19931878938,
1463.965942, 3.2241, 3.3182, 1.03426333334322, 1487.37556973371,
1471.442993, 3.22294, 3.2887, 1.03431167869658, 1487.39265606676,
1478.883056, 3.22146, 3.2474, 1.03436818612027, 1487.37022431951,
1486.2229, 3.21986, 3.2577, 1.03437367154202, 1487.49234060853,
1494.402099, 3.21786, 3.2252, 1.0344198980664, 1487.49875919198,
1501.734985, 3.21639, 3.2061, 1.03445475215333, 1487.53836831125,
1509.125, 3.21485, 3.2029, 1.03447393601361, 1487.62347796468,
1516.63208, 3.2135, 3.1883, 1.03450631533015, 1487.68067694581,
1524.619018, 3.2121, 3.1328, 1.03457943410919, 1487.62707874879,
1531.820922, 3.21046, 3.1286, 1.03459782724096, 1487.70467659883,
1539.249023, 3.20906, 3.1103, 1.03463294322058, 1487.74908327093,
1546.647094, 3.20792, 3.0989, 1.03466376121712, 1487.81696986288,
1554.762939, 3.20706, 3.0976, 1.03469049773945, 1487.92990297538,
1562.234985, 3.20636, 3.0743, 1.03473718172751, 1487.97161903934,
1569.562988, 3.20587, 3.0638, 1.03477296787522, 1488.05123646554,
1576.940063, 3.20536, 3.0369, 1.03482451536507, 1488.0840262446,
1585.177978, 3.20447, 3.0348, 1.03485222069107, 1488.19616416835,
1592.392944, 3.20393, 3.0259, 1.03488552520426, 1488.27780263763,
1599.780029, 3.20344, 3.0257, 1.03491165688388, 1488.38811497229,
1607.136962, 3.20276, 3.0098, 1.03495094424762, 1488.44962705729,
1615.124023, 3.20218, 2.9856, 1.03500175809079, 1488.49887025389,
1622.48413, 3.20172, 2.932, 1.0350794091388, 1488.45499641651,
1630.072021, 3.20112, 2.9795, 1.03505943626771, 1488.7046337632,
1637.223999, 3.20024, 2.9521, 1.0351070345413, 1488.72644496973,
1645.48706, 3.19915, 2.9079, 1.03517341451042, 1488.71417416444,
1652.937866, 3.1984, 2.9275, 1.03517827205568, 1488.87870786311,
1660.369873, 3.19766, 2.9186, 1.03521056216643, 1488.96069980265,
1667.694946, 3.1968, 2.8997, 1.03525088955645, 1489.0101364108,
1675.289062, 3.19572, 2.8852, 1.03528601324643, 1489.07312580974,
1683.44104, 3.19441, 2.8384, 1.03535235356379, 1489.04788097544,
1690.670898, 3.19332, 2.8465, 1.03536411174319, 1489.17027675521,
1698.207031, 3.19235, 2.8465, 1.03538607413563, 1489.27606859375,
1705.680053, 3.19149, 2.8317, 1.03542305584921, 1489.33971469166,
1713.635986, 3.19054, 2.804, 1.03547359646889, 1489.37228626535,
1720.95581, 3.18986, 2.7819, 1.03551868186235, 1489.41514084403,
1728.399047, 3.18936, 2.7951, 1.03553198551914, 1489.56525049597,
1735.749023, 3.18878, 2.7494, 1.03560087840327, 1489.54170486132,
1743.906982, 3.18812, 2.7705, 1.03560798949116, 1489.72373304283,
1751.394897, 3.18724, 2.7549, 1.03564560116386, 1489.78496539992,
1758.740966, 3.18673, 2.7514, 1.03567448032357, 1489.88495224023,
1766.244873, 3.18597, 2.7347, 1.03571435172509, 1489.94516341304,
1774.38208, 3.18524, 2.7124, 1.03576252049025, 1489.9997775519,
1781.749023, 3.18469, 2.7004, 1.03579929005119, 1490.07478390088,
1789.166015, 3.18427, 2.6916, 1.03583441427048, 1490.16198095614,
1796.36914, 3.18392, 2.671, 1.03588070049645, 1490.212555492,
1804.555908, 3.1835, 2.6819, 1.03589999847698, 1490.36945047488,
1811.942993, 3.18306, 2.6545, 1.03595274449568, 1490.40178367546,
1819.359008, 3.18247, 2.6525, 1.03597967967853, 1490.50605240491,
1826.575927, 3.18177, 2.6606, 1.03599500514423, 1490.63475076691,
1834.593017, 3.18036, 2.6186, 1.03605520970509, 1490.61919026249,
1842.054077, 3.17939, 2.5944, 1.03610013636948, 1490.65347885822,
1849.45288, 3.17865, 2.6024, 1.0361159057603, 1490.78422162666,
1856.901001, 3.17771, 2.5791, 1.03616018808801, 1490.82139116505,
1865.034912, 3.1767, 2.5378, 1.03622402943587, 1490.8160117502,
1872.412841, 3.17564, 2.5515, 1.0362311346249, 1490.95793472952,
1879.61914, 3.17428, 2.5374, 1.03626152854641, 1491.01123054892,
1887.159912, 3.17305, 2.485, 1.03633155116509, 1490.96024405407,
1895.232055, 3.1718, 2.4575, 1.0363795202623, 1490.99009949851,
1902.519897, 3.17068, 2.4933, 1.03636428521004, 1491.1942092462,
1909.848022, 3.16967, 2.4733, 1.03640420225819, 1491.23783158983,
1917.069091, 3.16881, 2.4496, 1.03644868574054, 1491.27131500007,
1925.189086, 3.16803, 2.4412, 1.03648284963643, 1491.36530257348,
1932.432983, 3.16752, 2.4243, 1.0365241944429, 1491.42465854301,
1939.958007, 3.16721, 2.4247, 1.03655187743688, 1491.54236484632,
1947.144897, 3.16705, 2.3971, 1.0366066817676, 1491.57517288252,
1955.204101, 3.16655, 2.4017, 1.03663067970831, 1491.71074841775,
1962.465087, 3.16618, 2.3846, 1.03667362437134, 1491.77207471157,
1969.822021, 3.16568, 2.3718, 1.03671156137449, 1491.84543059511,
1985.185913, 3.16421, 2.3622, 1.03677012631464, 1492.04188987354,
1992.50708, 3.1635, 2.3261, 1.03682846529766, 1492.04306498459,
1999.890014, 3.1629, 2.3392, 1.03684046192295, 1492.19107957103,
2007.120849, 3.16227, 2.2995, 1.03690268647426, 1492.18151634753,
2015.059936, 3.16146, 2.3083, 1.03691911646157, 1492.32256283048,
2022.291015, 3.16067, 2.2781, 1.03697060958351, 1492.33820997312,
2029.597045, 3.16031, 2.296, 1.03697991485529, 1492.50302528762,
2036.817993, 3.1599, 2.2714, 1.03702957105923, 1492.54108498154,
2044.899047, 3.1596, 2.2555, 1.03707539670662, 1492.62035133237,
2052.301025, 3.15926, 2.2449, 1.03711290322091, 1492.70352892049,
2059.606933, 3.15884, 2.2608, 1.03712355037232, 1492.8615906497,
2066.941894, 3.15809, 2.2414, 1.03716537778658, 1492.91123835261,
2074.979003, 3.15703, 2.2138, 1.037215081095, 1492.9431396313,
2082.167968, 3.15649, 2.1801, 1.03727220952236, 1492.95182866191,
2089.373046, 3.15588, 2.2085, 1.03726845908133, 1493.14196073499,
2096.679199, 3.15528, 2.1788, 1.03732159876736, 1493.1633133684,
2104.520996, 3.15467, 2.17, 1.03735656686873, 1493.25455375488,
2111.76416, 3.15401, 2.156, 1.03739363738712, 1493.32001265998,
2119.080078, 3.15333, 2.1732, 1.03740053056677, 1493.47801506454,
2126.410888, 3.15267, 2.1535, 1.03744348382557, 1493.52816056256,
2134.397949, 3.15182, 2.1459, 1.03747557157761, 1493.62141460085,
2141.441894, 3.15153, 2.1207, 1.03752623590838, 1493.65675841256,
2148.749023, 3.15124, 2.1084, 1.03756546144865, 1493.73430443618,
2155.955078, 3.1511, 2.1227, 1.03757987348494, 1493.89090751228,
2163.920898, 3.15089, 2.0881, 1.03764423582292, 1493.91486495608,
2171.10205, 3.15076, 2.0801, 1.03768029893753, 1494.00565840554,
2178.37207, 3.15023, 2.0866, 1.03769878875947, 1494.13404095106,
2185.480957, 3.14956, 2.0928, 1.03771556687073, 1494.2566657477,
2193.462158, 3.14918, 2.071, 1.03776591706164, 1494.31577745901,
2200.755859, 3.14871, 2.0405, 1.03782104461774, 1494.33664645375,
2207.829101, 3.14816, 2.0655, 1.03782053540938, 1494.51605093035,
2215.052978, 3.14782, 2.0521, 1.03785998936148, 1494.58827559971,
2222.979003, 3.14751, 2.0348, 1.03790641033685, 1494.66090585222,
2230.192871, 3.14738, 2.044, 1.0379258675551, 1494.80298791785,
2237.466064, 3.14711, 2.0274, 1.03796930441433, 1494.86775822834,
2244.60791, 3.14678, 2.0126, 1.03800987706241, 1494.93472211196,
2252.469238, 3.14663, 2.0026, 1.03805046709246, 1495.03046596645,
2259.605957, 3.14653, 2.0092, 1.03807240677221, 1495.1641937338,
2266.598144, 3.14636, 2.0077, 1.03810095841394, 1495.27057365491,
2274.034912, 3.14616, 1.9663, 1.03816988398751, 1495.26608706137,
2281.801025, 3.14573, 1.9922, 1.03817243347014, 1495.46158287162,
2288.96997, 3.14553, 1.9666, 1.03822487326456, 1495.49932977757,
2296.295898, 3.1453, 1.9696, 1.03824982620766, 1495.6234719163,
2303.472167, 3.14505, 1.9618, 1.03828448534333, 1495.71302190828,
2310.819824, 3.14497, 1.9658, 1.03830999156702, 1495.84295611295,
2318.634033, 3.14476, 1.9511, 1.03835436832732, 1495.92320911049,
2325.630859, 3.1447, 1.963, 1.03837092879631, 1496.07110187905,
2332.708007, 3.1445, 1.949, 1.03841168819657, 1496.1416242484,
2339.875976, 3.14429, 1.9413, 1.03844658934885, 1496.23205405445,
2347.870849, 3.14429, 1.9407, 1.03847998579466, 1496.36033799842,
2354.755859, 3.14437, 1.9322, 1.03851728889503, 1496.44858441672,
2362.082031, 3.14428, 1.9311, 1.03854755682866, 1496.56307011982,
2369.291992, 3.14429, 1.9294, 1.0385788911302, 1496.67554873678,
2377.324951, 3.14431, 1.9116, 1.03862938511622, 1496.75409091794,
2384.610839, 3.14429, 1.911, 1.03865966453342, 1496.87058965328,
2391.657959, 3.1442, 1.9152, 1.03868361043996, 1496.99623481282,
2398.892089, 3.14403, 1.9121, 1.03871466697241, 1497.10208364102,
2406.684082, 3.14384, 1.8989, 1.03875766170028, 1497.18689032412,
2413.74707, 3.14379, 1.9112, 1.03877415426109, 1497.33740815298,
2420.887207, 3.1437, 1.9007, 1.0388127987198, 1497.42123737008,
